Power(W), TimePDU(S), TimeNODE(mS)
176, 1558824493, 1558824493598
176, 1558824493, 1558824493676
176, 1558824493, 1558824493754
176, 1558824493, 1558824493833
176, 1558824493, 1558824493911
183, 1558824493, 1558824493989
183, 1558824494, 1558824494067
183, 1558824494, 1558824494144
183, 1558824494, 1558824494223
183, 1558824494, 1558824494301
183, 1558824494, 1558824494379
183, 1558824494, 1558824494457
183, 1558824494, 1558824494534
183, 1558824494, 1558824494613
183, 1558824494, 1558824494691
183, 1558824494, 1558824494767
183, 1558824494, 1558824494846
183, 1558824494, 1558824494924
183, 1558824494, 1558824495003
183, 1558824494, 1558824495082
183, 1558824494, 1558824495162
183, 1558824494, 1558824495240
194, 1558824495, 1558824495317
194, 1558824495, 1558824495395
194, 1558824495, 1558824495473
194, 1558824495, 1558824495552
194, 1558824495, 1558824495629
194, 1558824495, 1558824495707
194, 1558824495, 1558824495786
194, 1558824495, 1558824495864
194, 1558824495, 1558824495944
194, 1558824496, 1558824496023
194, 1558824496, 1558824496102
194, 1558824496, 1558824496179
194, 1558824496, 1558824496257
194, 1558824496, 1558824496334
194, 1558824496, 1558824496412
194, 1558824496, 1558824496489
194, 1558824496, 1558824496566
194, 1558824496, 1558824496645
194, 1558824496, 1558824496724
194, 1558824496, 1558824496802
194, 1558824496, 1558824496879
193, 1558824496, 1558824496957
193, 1558824497, 1558824497035
193, 1558824497, 1558824497114
193, 1558824497, 1558824497194
193, 1558824497, 1558824497273
193, 1558824497, 1558824497353
193, 1558824497, 1558824497429
193, 1558824497, 1558824497508
193, 1558824497, 1558824497587
193, 1558824497, 1558824497663
193, 1558824497, 1558824497739
193, 1558824497, 1558824497815
193, 1558824497, 1558824497894
194, 1558824497, 1558824497975
194, 1558824498, 1558824498055
194, 1558824498, 1558824498133
194, 1558824498, 1558824498212
194, 1558824498, 1558824498288
194, 1558824498, 1558824498367
194, 1558824498, 1558824498444
194, 1558824498, 1558824498523
194, 1558824498, 1558824498600
194, 1558824498, 1558824498676
194, 1558824498, 1558824498755
194, 1558824498, 1558824498832
194, 1558824498, 1558824498910
194, 1558824498, 1558824498987
194, 1558824499, 1558824499067
194, 1558824499, 1558824499144
194, 1558824499, 1558824499223
194, 1558824499, 1558824499300
194, 1558824499, 1558824499377
194, 1558824499, 1558824499454
194, 1558824499, 1558824499532
194, 1558824499, 1558824499609
194, 1558824499, 1558824499687
194, 1558824499, 1558824499764
194, 1558824499, 1558824499843
194, 1558824499, 1558824499920
195, 1558824499, 1558824499998
195, 1558824500, 1558824500077
195, 1558824500, 1558824500154
195, 1558824500, 1558824500234
195, 1558824500, 1558824500313
195, 1558824500, 1558824500391
195, 1558824500, 1558824500467
195, 1558824500, 1558824500546
195, 1558824500, 1558824500625
195, 1558824500, 1558824500701
195, 1558824500, 1558824500779
195, 1558824500, 1558824500856
195, 1558824500, 1558824500935
190, 1558824500, 1558824501014
190, 1558824501, 1558824501095
190, 1558824501, 1558824501173
190, 1558824501, 1558824501251
190, 1558824501, 1558824501328
190, 1558824501, 1558824501405
190, 1558824501, 1558824501484
190, 1558824501, 1558824501562
190, 1558824501, 1558824501641
190, 1558824501, 1558824501718
190, 1558824501, 1558824501795
190, 1558824501, 1558824501875
190, 1558824501, 1558824501952
190, 1558824501, 1558824502030
194, 1558824502, 1558824502110
194, 1558824502, 1558824502188
194, 1558824502, 1558824502266
194, 1558824502, 1558824502347
194, 1558824502, 1558824502425
194, 1558824502, 1558824502501
194, 1558824502, 1558824502579
194, 1558824502, 1558824502655
194, 1558824502, 1558824502733
194, 1558824502, 1558824502810
194, 1558824502, 1558824502887
194, 1558824502, 1558824502965
194, 1558824502, 1558824503043
194, 1558824503, 1558824503124
194, 1558824503, 1558824503203
194, 1558824503, 1558824503279
194, 1558824503, 1558824503356
194, 1558824503, 1558824503477
194, 1558824503, 1558824503595
194, 1558824503, 1558824503714
194, 1558824503, 1558824503838
194, 1558824503, 1558824503959
194, 1558824503, 1558824504080
194, 1558824503, 1558824504200
194, 1558824504, 1558824504320
194, 1558824504, 1558824504438
194, 1558824504, 1558824504556
194, 1558824504, 1558824504674
194, 1558824504, 1558824504791
194, 1558824504, 1558824504905
193, 1558824504, 1558824505022
193, 1558824505, 1558824505141
193, 1558824505, 1558824505257
193, 1558824505, 1558824505373
193, 1558824505, 1558824505488
193, 1558824505, 1558824505602
193, 1558824505, 1558824505716
193, 1558824505, 1558824505829
194, 1558824505, 1558824505941
194, 1558824506, 1558824506052
194, 1558824506, 1558824506160
194, 1558824506, 1558824506267
194, 1558824506, 1558824506374
194, 1558824506, 1558824506478
194, 1558824506, 1558824506583
194, 1558824506, 1558824506690
194, 1558824506, 1558824506794
194, 1558824506, 1558824506902
193, 1558824506, 1558824507010
193, 1558824507, 1558824507119
193, 1558824507, 1558824507226
193, 1558824507, 1558824507334
193, 1558824507, 1558824507445
193, 1558824507, 1558824507553
