Power(W), TimePDU(S), TimeNODE(mS)
246, 1558795487, 1558795486912
246, 1558795487, 1558795486987
246, 1558795487, 1558795487066
246, 1558795487, 1558795487142
246, 1558795487, 1558795487220
246, 1558795487, 1558795487299
260, 1558795487, 1558795487380
260, 1558795488, 1558795487458
260, 1558795488, 1558795487536
260, 1558795488, 1558795487614
260, 1558795488, 1558795487693
260, 1558795488, 1558795487771
260, 1558795488, 1558795487849
260, 1558795488, 1558795487926
260, 1558795488, 1558795488004
260, 1558795488, 1558795488079
260, 1558795488, 1558795488157
260, 1558795488, 1558795488234
260, 1558795488, 1558795488313
270, 1558795488, 1558795488389
270, 1558795489, 1558795488467
270, 1558795489, 1558795488543
270, 1558795489, 1558795488620
270, 1558795489, 1558795488698
270, 1558795489, 1558795488775
270, 1558795489, 1558795488853
270, 1558795489, 1558795488930
270, 1558795489, 1558795489007
270, 1558795489, 1558795489087
270, 1558795489, 1558795489166
270, 1558795489, 1558795489245
270, 1558795489, 1558795489324
269, 1558795490, 1558795489404
269, 1558795490, 1558795489481
269, 1558795490, 1558795489559
269, 1558795490, 1558795489635
269, 1558795490, 1558795489714
269, 1558795490, 1558795489791
269, 1558795490, 1558795489869
269, 1558795490, 1558795489947
269, 1558795490, 1558795490026
269, 1558795490, 1558795490104
269, 1558795490, 1558795490181
269, 1558795490, 1558795490259
269, 1558795490, 1558795490339
269, 1558795490, 1558795490414
269, 1558795491, 1558795490494
269, 1558795491, 1558795490573
269, 1558795491, 1558795490651
269, 1558795491, 1558795490729
269, 1558795491, 1558795490807
269, 1558795491, 1558795490882
269, 1558795491, 1558795490959
269, 1558795491, 1558795491036
269, 1558795491, 1558795491115
269, 1558795491, 1558795491193
269, 1558795491, 1558795491269
269, 1558795491, 1558795491348
269, 1558795491, 1558795491426
269, 1558795492, 1558795491504
269, 1558795492, 1558795491584
269, 1558795492, 1558795491663
269, 1558795492, 1558795491739
269, 1558795492, 1558795491818
269, 1558795492, 1558795491897
269, 1558795492, 1558795491973
269, 1558795492, 1558795492049
269, 1558795492, 1558795492125
269, 1558795492, 1558795492205
269, 1558795492, 1558795492284
269, 1558795492, 1558795492363
269, 1558795493, 1558795492440
269, 1558795493, 1558795492517
269, 1558795493, 1558795492597
269, 1558795493, 1558795492675
269, 1558795493, 1558795492753
269, 1558795493, 1558795492830
269, 1558795493, 1558795492907
269, 1558795493, 1558795492985
269, 1558795493, 1558795493064
269, 1558795493, 1558795493141
269, 1558795493, 1558795493219
269, 1558795493, 1558795493297
269, 1558795493, 1558795493376
269, 1558795494, 1558795493455
269, 1558795494, 1558795493534
269, 1558795494, 1558795493613
269, 1558795494, 1558795493690
269, 1558795494, 1558795493766
269, 1558795494, 1558795493842
269, 1558795494, 1558795493918
269, 1558795494, 1558795493996
269, 1558795494, 1558795494076
269, 1558795494, 1558795494152
269, 1558795494, 1558795494229
269, 1558795494, 1558795494305
269, 1558795494, 1558795494383
270, 1558795495, 1558795494463
270, 1558795495, 1558795494542
270, 1558795495, 1558795494620
270, 1558795495, 1558795494696
270, 1558795495, 1558795494775
270, 1558795495, 1558795494854
270, 1558795495, 1558795494933
270, 1558795495, 1558795495011
270, 1558795495, 1558795495089
270, 1558795495, 1558795495186
270, 1558795495, 1558795495283
270, 1558795495, 1558795495377
270, 1558795495, 1558795495472
270, 1558795496, 1558795495574
270, 1558795496, 1558795495670
270, 1558795496, 1558795495765
270, 1558795496, 1558795495860
270, 1558795496, 1558795495955
270, 1558795496, 1558795496050
270, 1558795496, 1558795496145
270, 1558795496, 1558795496241
270, 1558795496, 1558795496337
270, 1558795496, 1558795496432
269, 1558795496, 1558795496530
269, 1558795497, 1558795496631
269, 1558795497, 1558795496731
269, 1558795497, 1558795496832
269, 1558795497, 1558795496931
269, 1558795497, 1558795497029
269, 1558795497, 1558795497128
269, 1558795497, 1558795497225
269, 1558795497, 1558795497323
269, 1558795497, 1558795497418
269, 1558795497, 1558795497516
269, 1558795497, 1558795497614
269, 1558795497, 1558795497712
269, 1558795498, 1558795497808
269, 1558795498, 1558795497904
269, 1558795498, 1558795497998
269, 1558795498, 1558795498093
269, 1558795498, 1558795498188
269, 1558795498, 1558795498285
269, 1558795498, 1558795498382
269, 1558795498, 1558795498477
269, 1558795498, 1558795498572
269, 1558795498, 1558795498668
269, 1558795499, 1558795498767
269, 1558795499, 1558795498860
269, 1558795499, 1558795498954
269, 1558795499, 1558795499048
269, 1558795499, 1558795499145
269, 1558795499, 1558795499241
269, 1558795499, 1558795499338
269, 1558795499, 1558795499433
269, 1558795500, 1558795499532
269, 1558795500, 1558795499628
269, 1558795500, 1558795499726
269, 1558795500, 1558795499822
269, 1558795500, 1558795499918
269, 1558795500, 1558795500015
269, 1558795500, 1558795500110
269, 1558795500, 1558795500208
269, 1558795500, 1558795500305
269, 1558795500, 1558795500401
269, 1558795501, 1558795500502
269, 1558795501, 1558795500597
269, 1558795501, 1558795500691
269, 1558795501, 1558795500786
269, 1558795501, 1558795500882
269, 1558795501, 1558795500976
269, 1558795501, 1558795501070
269, 1558795501, 1558795501165
269, 1558795501, 1558795501261
269, 1558795501, 1558795501356
269, 1558795501, 1558795501452
