Power(W), TimePDU(S), TimeNODE(mS)
249, 1558653084, 1558653085173
249, 1558653084, 1558653085249
249, 1558653084, 1558653085327
254, 1558653084, 1558653085403
254, 1558653085, 1558653085483
254, 1558653085, 1558653085562
254, 1558653085, 1558653085639
254, 1558653085, 1558653085717
254, 1558653085, 1558653085794
254, 1558653085, 1558653085871
254, 1558653085, 1558653085947
254, 1558653085, 1558653086024
254, 1558653085, 1558653086102
254, 1558653085, 1558653086180
254, 1558653085, 1558653086257
270, 1558653085, 1558653086334
270, 1558653086, 1558653086414
270, 1558653086, 1558653086492
270, 1558653086, 1558653086568
270, 1558653086, 1558653086645
270, 1558653086, 1558653086722
270, 1558653086, 1558653086799
270, 1558653086, 1558653086875
270, 1558653086, 1558653086954
270, 1558653086, 1558653087032
270, 1558653086, 1558653087109
270, 1558653086, 1558653087189
270, 1558653086, 1558653087267
270, 1558653086, 1558653087346
277, 1558653087, 1558653087441
277, 1558653087, 1558653087539
277, 1558653087, 1558653087636
277, 1558653087, 1558653087732
277, 1558653087, 1558653087829
277, 1558653087, 1558653087924
277, 1558653087, 1558653088018
277, 1558653087, 1558653088111
277, 1558653087, 1558653088209
277, 1558653087, 1558653088301
275, 1558653087, 1558653088397
275, 1558653088, 1558653088494
275, 1558653088, 1558653088592
275, 1558653088, 1558653088687
275, 1558653088, 1558653088784
275, 1558653088, 1558653088881
275, 1558653088, 1558653088977
275, 1558653088, 1558653089074
275, 1558653088, 1558653089170
275, 1558653088, 1558653089265
275, 1558653088, 1558653089363
275, 1558653089, 1558653089465
275, 1558653089, 1558653089564
275, 1558653089, 1558653089666
275, 1558653089, 1558653089769
275, 1558653089, 1558653089869
275, 1558653089, 1558653089971
275, 1558653089, 1558653090073
275, 1558653089, 1558653090176
275, 1558653089, 1558653090281
275, 1558653089, 1558653090389
275, 1558653090, 1558653090495
275, 1558653090, 1558653090598
275, 1558653090, 1558653090702
275, 1558653090, 1558653090807
275, 1558653090, 1558653090909
275, 1558653090, 1558653091011
275, 1558653090, 1558653091115
275, 1558653090, 1558653091217
275, 1558653090, 1558653091322
275, 1558653090, 1558653091426
275, 1558653091, 1558653091533
275, 1558653091, 1558653091639
275, 1558653091, 1558653091743
275, 1558653091, 1558653091848
275, 1558653091, 1558653091949
275, 1558653091, 1558653092050
275, 1558653091, 1558653092149
275, 1558653091, 1558653092245
275, 1558653091, 1558653092343
275, 1558653091, 1558653092439
275, 1558653092, 1558653092542
275, 1558653092, 1558653092640
275, 1558653092, 1558653092736
275, 1558653092, 1558653092832
275, 1558653092, 1558653092927
275, 1558653092, 1558653093022
275, 1558653092, 1558653093115
275, 1558653092, 1558653093210
275, 1558653092, 1558653093305
275, 1558653092, 1558653093403
275, 1558653092, 1558653093498
275, 1558653092, 1558653093593
275, 1558653092, 1558653093689
275, 1558653093, 1558653093786
275, 1558653093, 1558653093882
275, 1558653093, 1558653093977
275, 1558653093, 1558653094071
275, 1558653093, 1558653094166
275, 1558653093, 1558653094262
275, 1558653093, 1558653094359
275, 1558653093, 1558653094454
275, 1558653094, 1558653094553
275, 1558653094, 1558653094648
275, 1558653094, 1558653094742
275, 1558653094, 1558653094838
275, 1558653094, 1558653094935
275, 1558653094, 1558653095034
275, 1558653094, 1558653095132
275, 1558653094, 1558653095228
275, 1558653094, 1558653095324
275, 1558653094, 1558653095420
275, 1558653095, 1558653095520
275, 1558653095, 1558653095616
275, 1558653095, 1558653095712
275, 1558653095, 1558653095806
275, 1558653095, 1558653095901
275, 1558653095, 1558653095995
275, 1558653095, 1558653096091
275, 1558653095, 1558653096184
275, 1558653095, 1558653096280
275, 1558653095, 1558653096375
275, 1558653095, 1558653096470
272, 1558653096, 1558653096571
272, 1558653096, 1558653096664
272, 1558653096, 1558653096760
272, 1558653096, 1558653096855
272, 1558653096, 1558653096949
272, 1558653096, 1558653097045
272, 1558653096, 1558653097139
272, 1558653096, 1558653097235
272, 1558653096, 1558653097330
272, 1558653096, 1558653097426
277, 1558653097, 1558653097531
277, 1558653097, 1558653097623
277, 1558653097, 1558653097718
277, 1558653097, 1558653097814
277, 1558653097, 1558653097911
277, 1558653097, 1558653098006
277, 1558653097, 1558653098102
277, 1558653097, 1558653098195
277, 1558653097, 1558653098290
277, 1558653097, 1558653098384
276, 1558653098, 1558653098486
276, 1558653098, 1558653098583
276, 1558653098, 1558653098678
276, 1558653098, 1558653098773
276, 1558653098, 1558653098867
276, 1558653098, 1558653098964
